building_blueprint_id|placeable_id|building_type|transform|hologram
10|0|SurvivalFabricator_Placeable|[0:5]={-149.54845,968.9541,386.00003,0,175,0}|t
10|1|Recycler_Placeable|[0:5]={-511.78857,995.8256,386.00003,0,175,0}|t
10|3|Generator_Placeable|[0:5]={458.12042,716.4585,962.0282,0,90,0}|t
10|4|Generator_Placeable|[0:5]={149.93219,696.3255,962.0282,0,90,0}|t
10|5|Generator_Placeable|[0:5]={-389.78888,808.7101,962.0282,-0,-95,-0}|t
10|2|Choam_PentashieldSurfaceVertical_Placeable|[0:5]={-768.0005,0.00030500203,384,-0,-90.00004,-0}|t
10|6|Choam_PentashieldSurfaceHorizontal_Placeable|[0:5]={-0.00092184776,-7.513954e-05,2112,-0,-180,-0}|t
(7 rows)
